,learning_rate,n_estimators,validation_score
0,0.5,5,-0.0001907863010967023
1,0.5,10,-0.00017778885826949737
2,0.5,25,-0.00016116188427361822
3,2.0,5,-0.00017489096293942452
4,2.0,10,-0.00016337513399008042
5,2.0,25,-0.00014863284327822372
6,3.0,5,-0.00024091543075121467
7,3.0,10,-0.0003587015234306891
8,3.0,25,-0.0003884665537728498
9,5.0,5,-0.0008494888559377622
10,5.0,10,-0.0012321873595188097
11,5.0,25,-0.0011710678914041669
