,Sector,mae_train,mae_test,mse_train,mse_test,nmse_train,nmse_test,rmse_train,rmse_test,r_squared_train,r_squared_test
0,FOOD_SERVICE,0.00017498225735296206,0.00017830106508030848,4.48380230402555e-08,4.591473822115734e-08,0.05394055761202922,0.056559484099509505,0.0002117499068246678,0.00021427724615823618,99.39222071993409,99.36776089142427
1,GROCERY,0.00019799952800317504,0.00019477288086029148,5.340691180113896e-08,5.2041852319746655e-08,0.26726430939988655,0.2510319173449454,0.00023109935482631483,0.00022812683384412858,97.97103833396731,98.08219348097549
2,K12_SCHOOLS,8.87221145377351e-05,9.175875979383332e-05,1.3690322697448671e-08,1.4694511189897117e-08,0.591908309205142,0.5968356256415208,0.00011700565241666179,0.00012122091894511078,97.76099376983176,97.73914007296942
3,LODGING,0.00021064012705366842,0.00020587971126593418,5.8481714135075744e-08,5.62944046093762e-08,2.2361445045698827,2.198309163149907,0.00024182992812114002,0.0002372644191811663,75.69556217088373,76.14001600787576
4,OFFICE,0.00014393676387749782,0.00014486282328036057,3.3827818751318865e-08,3.4178706884428655e-08,0.922975943749189,0.898340133662259,0.00018392340457733722,0.00018487484113428917,96.72927268500887,96.76277585702609
5,RESIDENTIAL,0.0001798740949451103,0.00017256842424071437,4.56237906920754e-08,4.2717390861466974e-08,6.6318029614416005,6.289409550545528,0.00021359726283844417,0.00020668185905266812,43.94294082781111,45.553785669345636
6,STAND_ALONE_RETAIL,0.00016732711591718803,0.00017136077562475354,4.0459319674596036e-08,4.2177590539979994e-08,1.378205954159248,1.4576156409402141,0.0002011450215008963,0.0002053718348264435,95.07441333422642,95.05427120985736
7,HEALTH_CARE,0.00019935668615445477,0.00019560523840497524,5.5325773472748906e-08,5.320548043319193e-08,0.28392062646864263,0.27397092241467425,0.0002352143139197717,0.00023066313193311134,95.01343250025775,94.90209764193825
