,Sector,mae_train,mae_test,mse_train,mse_test,nmse_train,nmse_test,rmse_train,rmse_test,r_squared_train,r_squared_test
0,GROCERY,0.00019920339068180403,0.00020014246506526697,5.416026470515686e-08,5.502419503589539e-08,0.2707135610257298,0.27351944440902437,0.0002327235800368258,0.0002345723663091955,97.9634410981477,97.84532964884363
1,HEALTH_CARE,0.00020004592504196313,0.00019889376592831403,5.585824929011351e-08,5.5878096834947544e-08,0.28651013355079397,0.2873946516622197,0.00023634349851458473,0.0002363854835537655,94.89607616826919,95.36193373689555
2,K12_SCHOOLS,8.800743492817019e-05,9.019440984102053e-05,1.3498716322003848e-08,1.4448084856461759e-08,0.5780101529770997,0.6161365511399005,0.00011618397618434242,0.00012020018659079427,97.81784751200279,97.68756887083875
3,LODGING,0.0002098179808899956,0.00021297737705952107,5.816661433621539e-08,6.000875040792441e-08,2.223437159630264,2.366869935644203,0.00024117755769601656,0.0002449668353225073,75.67477484148016,75.18572495398566
4,OFFICE,0.0001439844823801876,0.00013965567266244674,3.395789946823564e-08,3.269288837241982e-08,0.9258413850492361,0.8965655237151694,0.0001842766926885645,0.00018081174843582432,96.70609234997748,96.786454790163
5,RESIDENTIAL,0.00017998756961302222,0.0001798546831619709,4.57748515694905e-08,4.491535679109497e-08,6.691089138914244,6.542108679632161,0.00021395058207326873,0.0002119324344952772,43.0633648025842,45.37883220203567
6,STAND_ALONE_RETAIL,0.00016790238823817557,0.00016718648598180533,4.0739515266551244e-08,4.0564320119971875e-08,1.3993114739663004,1.308957706795909,0.00020184032121097915,0.0002014058591997062,95.02573855553548,95.31873542015704
7,FOOD_SERVICE,0.00017659961561597605,0.00016978088198971517,4.566319239421531e-08,4.248284163403942e-08,0.0552709683560123,0.051496841172429364,0.00021368947656404447,0.00020611366192962421,99.38340124793498,99.43497256030803
