,mae_ab,mae_dt,mae_rf,maestack,mse_ab,mse_dt,mse_rf,mse_stack,nmse_ab,nmse_dt,nmse_rf,nmse_stack,r_squared_ab,r_squared_dt,r_squared_rf,r_squared_stack,rmse_ab,rmse_dt,rmse_rf,rmse_stack
lower_bound,0.00014379538468292172,0.00020155808812657137,0.0001888222504295954,0.00014651624037042156,4.6329744007128004e-08,1.0513379459865431e-07,7.466511983769864e-08,5.7882439969900614e-08,0.27535766490054603,0.6248555178367728,0.4437670332230837,0.34402032323782505,99.09370491244323,98.66754470459841,98.86296094198363,99.20593630558125,0.00021636516030071077,0.00032424373221965675,0.0002734940051144212,0.00024063086577867483
mean,0.0001474635815749331,0.0002017207285181046,0.000190124639269612,0.00015031954788778646,5.91636948743562e-08,1.0549317133631981e-07,8.249673239279525e-08,6.048211508189848e-08,0.35163537413426393,0.6269914488984235,0.4903136868209412,0.35947131446777153,99.25525667576979,98.67206848268275,98.96154405415659,99.23866060870228,0.00024307737162120719,0.00032479707242849364,0.00028718717909151934,0.00024592496250795416
upper_bound,0.00015113177846694446,0.00020188336890963784,0.0001914270281096286,0.00015412285540515136,7.199764574158439e-08,1.058525480739853e-07,9.032834494789185e-08,6.308179019389635e-08,0.42791308336798184,0.6291273799600742,0.5368603404187987,0.374922305697718,99.41680843909634,98.67659226076708,99.06012716632955,99.2713849118233,0.0002697895829417036,0.0003253504126373305,0.0003008803530686175,0.0002512190592372335
