,Sector,mae_train,mae_test,mse_train,mse_test,nmse_train,nmse_test,rmse_train,rmse_test,r_squared_train,r_squared_test
0,FOOD_SERVICE,9.21825237456524e-05,0.00018136502862631896,1.5264295220943563e-08,2.617144926837125e-07,0.018562193170570646,0.31107554473549026,0.00012354875645243687,0.0005115803873133846,99.79537429373558,96.38008625618646
1,GROCERY,0.0001238975829979257,0.0001597623793014801,2.3029271612562747e-08,5.223465939376018e-08,0.11440122268617428,0.26674833246876173,0.00015175398384412433,0.00022854903061216467,99.12858197956403,98.043056431912
2,HEALTH_CARE,0.00013223036868462168,0.0001531659545702937,2.416795317488023e-08,3.8769983062393354e-08,0.12446056790574661,0.19599321994965327,0.00015546045534115815,0.00019690094733747056,97.83871211331218,96.31720203505844
3,K12_SCHOOLS,8.922830999242129e-05,0.0001396009927564709,1.2867524768448434e-08,5.7361443579515086e-08,0.5529984474800435,2.416542060506047,0.00011343511259062793,0.000239502491802309,97.89588523669309,91.16836584782592
4,LODGING,0.0001425820805279654,0.00014126571754214946,2.7179544395670894e-08,2.746202172788295e-08,1.047420123420396,1.0328715968585618,0.00016486219820101544,0.00016571669115657286,88.65842860309976,88.48254879790221
5,OFFICE,0.0001101202996409941,0.000135380272346959,1.8602720550575937e-08,3.9454450270138535e-08,0.5080760084192213,1.0713457321242559,0.0001363917906275005,0.00019863144330679002,98.19239289023588,96.17424610406306
6,RESIDENTIAL,0.00017778262279330095,0.00018009142435047816,4.072439011237075e-08,4.1574028383058826e-08,5.93741556170661,6.131064806112324,0.00020180284961409924,0.00020389710243909505,49.39865917873589,48.648384715717754
7,STAND_ALONE_RETAIL,0.00013617262974686134,0.00014554663990231547,2.4706245341591975e-08,3.0432960349024173e-08,0.8412754555488132,1.0495302070921861,0.00015718220427768525,0.00017445045241851388,96.99631458310897,96.3255002179833
