,Sector,mae_train,mae_test,mse_train,mse_test,nmse_train,nmse_test,rmse_train,rmse_test,r_squared_train,r_squared_test
0,FOOD_SERVICE,0.00014284394368629336,0.00019562584887976945,4.9664063332394764e-08,1.6698788808600905e-07,0.05999657015359301,0.20380026520835395,0.00022285435452868037,0.00040864151537259286,99.33242548583452,97.72155275620554
1,GROCERY,0.00017232317330461794,0.00019960084129747488,5.134167424290308e-08,7.424304847255173e-08,0.256244850535171,0.37229975658433495,0.00022658701252036288,0.00027247577593714954,98.06286521493644,97.19105265118188
2,HEALTH_CARE,0.00016438301722822396,0.000179768017577733,4.585414991357121e-08,5.7314386615065845e-08,0.23540534563521845,0.2933427907861642,0.00021413582118265782,0.00023940423265904437,95.84065528159034,94.87262333813223
3,OFFICE,0.00017018612579100566,0.0001926162579968735,6.64677758733129e-08,8.93972165314716e-08,1.818751183179212,2.4101323804308814,0.0002578134516919412,0.0002989936730626111,93.56363792639833,91.20887746439283
4,RESIDENTIAL,0.0001948096029229251,0.000193903950676531,5.508090890773128e-08,5.432483255248234e-08,8.035580057394167,7.9899198914903184,0.0002346932229693292,0.0002330768812054991,31.866609567683003,31.67715954806599
5,STAND_ALONE_RETAIL,0.00017478147449997975,0.00018422482951885798,4.5891713082549405e-08,5.25982977022541e-08,1.5609581381951174,1.822534064684581,0.0002142235119741748,0.00022934318760812168,94.4239660029381,93.63402432717194
6,K12_SCHOOLS,0.00012902344596250922,0.00016013959816075593,4.4554036592108814e-08,7.141503168845386e-08,1.9286569736789831,2.923591763255241,0.00021107827124578412,0.0002672359101776067,92.69492037910997,89.11557387280187
7,LODGING,0.00018716157513561308,0.00019337294042284615,5.483914011990615e-08,5.8683502247318365e-08,2.1007132112871427,2.260909625147044,0.00023417758244525917,0.00024224677964282285,77.1486319205619,75.28184041563829
