,max_features,n_estimators,validation_score
0,0.8,2,0.9865034856232867
1,0.8,5,0.9885319430070999
2,0.8,10,0.9892198989569068
3,0.8,25,0.9897296985402219
4,0.8,100,0.9900108918052095
5,0.9,2,0.9864517061198423
6,0.9,5,0.9883940273436412
7,0.9,10,0.9891092791173814
8,0.9,25,0.9895937099236767
9,0.9,100,0.9897870796849151
10,,2,0.9869330343330114
11,,5,0.9884793366985141
12,,10,0.9888154857048906
13,,25,0.9890869000371468
14,,100,0.9894141547637841
